CAS,Median PR,Class,GATS5c,ATS3m,ETA_Psi_1,ETA_Beta,GATS2v,ATSC5e,piPC7,ATSC3e,MLFER_A,AATSC5e,ATSC7c,MDEC-22,SIC2,ATSC8c,minHCsatu,AATS6v,SsssCH,SsssN,AATSC8m,nCl,MDEC-44,PubchemFP377,SubFP40,FMF,minHssNH,VE2_D,maxssCH2,khs.dssS,FP490,ATS8m,FP184,ExtFP763,ExtFP636,minHBint10,ExtFP738,GATS6v,SCH-6,AD2D395,FP350,minHBint3,khs.sNH2,ExtFP701
26040-51-7,92.45108135942328,1,1.1764460578741391,35715.3664300002,0.72539,28.5,0.8655739600489109,6.549638157024762,5.75316769983694,1.6430299090909228,0.003,0.0383019775264606,-0.2648805049307596,8.319504142882373,0.5963714305404663,0.1551612978217974,0.0,177.23249403689542,0.8255033536204522,0.0,-58.88127151379255,0,0.0,0,0,0.1875,0.0,1.398620802506301e-17,1.1689654294123215,0,0,20982.578090000017,0,1,0,0.0,0,0.9412151219460386,0.037037037037037,0,1,0.0,0,1
31107-44-5,92.45108135942328,1,0.9971176936454252,40348.666085,0.57016,22.0,0.5953101985504612,-3.644190292403752,6.38012253689976,-0.0767268491155091,0.003,-0.0560644660369808,0.162325744522333,0.0,0.7004820005555936,0.1219740509714429,0.0,403.0520650150237,3.6089231824417,0.0,245.1396287460977,12,5.803168461877978,0,0,0.4838709677419355,0.0,1.3363795666784292e-17,0.0,0,1,8796.917500000001,0,1,0,0.0,0,0.8952458082245331,1.3455119064137897,0,0,0.0,0,0
3278-89-5,92.45108135942328,1,0.5752682021470222,10220.641605,0.87748,16.0,0.652805066644064,-0.0826453900000001,4.12309397550809,0.1895361900000006,0.003,-0.0034435579166666,-0.0384666010368398,1.9692593638364124,0.8293020247188075,0.0221747694951727,0.6216014739229025,203.4275705372884,0.0,0.0,-2.22076482250003,0,0.0,0,0,0.4615384615384615,0.0,0.0170500907487648,0.6680479969765686,0,0,1068.5486079999996,0,0,0,0.0,0,1.0885781626455415,0.0555555555555555,0,0,0.0,0,0
3322-93-8,92.45108135942328,1,1.1542096148902057,21645.816607,1.07692,6.0,1.0001388068690258,-0.1502920833333334,2.484906649788,0.0999964166666661,0.06,-0.003339824074074,0.004076311091308,2.449489742783178,0.6817535766546096,0.0,0.0,195.0140114628262,5.377614743428236,0.0,0.0,0,0.0,0,0,0.5,0.0,0.0066113080619039,1.7496014949189551,0,0,0.0,0,1,0,0.0,0,1.14537552625327,0.0680413817439771,0,0,0.0,0,0
35109-60-5,92.45108135942328,1,0.7590956512360592,19246.118021,0.99138,16.0,0.7929128855369997,-0.1498575144628096,4.23772314506745,0.0546593181818185,0.022,-0.0055502783134373,-0.0203040090670868,1.6509636244473136,0.8496048909370342,-0.0033154695922422,0.0,288.05185045525445,1.0339978190350212,0.0,49.11322132782366,0,0.0,0,0,0.4,0.0,0.0130889441596055,1.5580139337971128,0,0,8574.011231999997,0,0,0,0.0,0,0.8512063958574682,0.0555555555555555,0,0,0.0,0,0
375-73-5,6.3909774436090325,0,0.7752766745242169,11298.9590755784,0.26147,13.25,1.1842486282006914,0.4399477499999988,0.0,0.8761842499999981,0.003,0.0209498928571428,-0.1151931774102759,0.0,0.7767760611685901,0.0,0.0,168.72367584327574,0.0,0.0,0.0,0,3.965406456500188,0,0,0.0,0.0,1.632680918566407e-17,0.0,0,0,0.0,0,0,0,0.0,0,0.786937183349525,0.0,0,0,10.18291365791287,0,0
37853-59-1,93.3023040049482,1,0.955398801352256,20244.256257,0.90384,28.5,0.5993073830606999,-0.4080652488888877,4.89034912822175,0.1061037377777758,0.003,-0.0083278622222221,-0.1402224151128127,3.424111710429462,0.6229127596336597,0.0036122677215171,0.0,201.49151827101647,0.0,0.0,-307.51946367460334,0,0.0,0,0,0.7272727272727273,0.0,3.784851220313034e-17,0.7135400263500464,0,0,12047.826234000002,0,0,0,0.0,0,1.341727586929274,0.1111111111111111,0,0,0.0,0,0
38521-51-6,92.45108135942328,1,0.7486208672835386,39744.523037,1.21052,15.0,0.7584228614642363,-0.0161333333333341,4.27492849911751,0.011777333333333,0.003,-0.0013444444444445,0.0,0.0,0.6525023761950111,0.0,0.0,333.04730542393673,0.0,0.0,0.0,0,0.0,0,0,0.4615384615384615,0.0,0.0059419129906332,1.6038940329218103,0,0,0.0,0,0,0,0.0,0,3.1023474399259703,0.037037037037037,0,0,0.0,0,0
39569-21-6,92.45108135942328,1,0.5885665476239834,32695.419927,1.02087,14.75,0.3539409899956012,-0.2061448133333331,3.84079549613978,0.1993550533333328,0.003,-0.0171787344444444,0.0,0.0,0.7140968059357052,0.0,0.0,147.8667267712162,0.0,0.0,0.0,1,0.0,0,0,0.5,0.0,1.8503717077085938e-17,0.0,0,0,0.0,0,0,0,0.0,0,3.8627965776070834,0.037037037037037,0,0,0.0,0,0
51805-45-9,7.199734571997343,0,0.515044417696141,3830.322034722,0.48077,13.5,1.4159075328308257,1.7773305015608698,2.94443897916644,-1.6326945140478677,1.767,0.0236977400208115,-1.0628564184040183,6.3771225031289545,0.6122617409642391,1.513350010363082,0.5880472971081436,134.926027434921,0.0,0.0,39.53004836711533,0,0.0,0,0,0.0,0.0,2.2442984970449945e-17,0.5586831275720163,0,1,3156.4513080000006,0,0,0,0.0,1,0.9518882434125312,0.0,0,0,0.0,0,0
51936-55-1,92.45108135942328,1,0.8652577817781267,31969.264306,0.70998,14.5,0.7514608633903614,-2.955447258034897,5.2257466737132,2.700951948576675,0.041,-0.0295544725803489,0.0476643576148532,2.6207413942088964,0.6876220337918441,0.0227143963186076,0.0,225.62672973970123,5.140954725511604,0.0,458.85871625619785,6,2.381101577952299,0,0,0.6190476190476191,0.0,0.0130045602430334,1.71547108143669,0,0,5736.6608,0,1,0,0.0,0,1.181532661346358,0.599595054408261,0,0,0.0,0,0
583-53-9,92.45108135942328,1,1.5561607834593658,10917.340715,0.98837,11.0,0.7627439256189512,-0.1287742499999998,2.15103519486684,0.1287742499999999,0.003,-0.0429247499999999,0.0,3.965406456500188,0.5350950905814501,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.75,0.0,4.8572257327350605e-17,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0833333333333333,0,0,0.0,0,0
608-90-2,92.45108135942328,1,0.3111198057134919,35753.959307,1.20331,14.0,0.6398231908042497,0.0690834374999994,3.44601139745195,-0.1673656875000004,0.003,0.0230278124999998,0.0,0.0,0.4976786026332263,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.5454545454545454,0.0,6.055761952500852e-17,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0453609211626514,0,0,0.0,0,0
